PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Kemba Walker,18,24.5,11.7,4.2,9.8,42.9,2.1,5.1,41.3,1.1,1.4,80.0,0.1,2.4,2.6,3.1,1.1,0.3,1.3,11.4
Cedi Osman,17,22.2,11.6,4.1,8.6,46.9,2.5,5.9,43.0,1.0,1.4,70.8,0.4,2.5,2.9,1.6,0.7,0.2,0.8,11.2
Bogdan Bogdanovic,20,28.2,11.6,4.5,10.0,44.7,2.2,5.5,39.1,0.6,0.7,78.6,0.4,3.2,3.6,2.5,0.7,0.2,0.9,11.9
Cam Reddish,21,22.5,11.5,4.0,9.6,41.3,1.6,4.2,38.2,2.0,2.2,89.1,0.9,2.0,2.8,0.9,1.1,0.2,1.3,9.3
Derrick White,18,31.2,11.4,4.2,10.9,38.6,1.4,4.8,28.7,1.6,1.9,82.9,0.5,2.8,3.3,5.2,1.2,1.0,1.6,13.6
Josh Hart,18,29.9,11.4,4.3,8.4,51.0,0.8,2.3,36.6,2.1,2.4,84.1,1.0,4.9,5.9,3.6,0.9,0.4,1.3,16.4
Monte Morris,19,29.6,11.4,4.9,10.8,45.6,1.3,3.8,32.9,0.3,0.4,62.5,0.3,2.3,2.6,4.2,0.8,0.1,1.4,11.7
Georges Niang,20,25.5,11.4,4.1,9.4,43.3,2.2,5.6,39.3,1.1,1.2,91.7,0.3,2.5,2.8,1.8,0.7,0.3,0.8,10.7
Duncan Robinson,20,28.9,11.3,4.0,10.7,37.1,3.1,9.2,33.9,0.3,0.4,62.5,0.4,3.5,3.9,1.4,0.9,0.3,0.9,10.0
Jae'Sean Tate,19,27.4,11.2,4.4,9.2,48.3,0.7,2.6,26.0,1.7,2.3,74.4,2.1,4.4,6.5,1.9,0.7,0.5,1.9,13.6
Marcus Smart,20,34.9,11.2,3.9,10.0,39.0,1.5,5.1,28.7,1.9,2.5,76.0,0.6,3.5,4.1,5.7,2.1,0.4,1.9,14.8
Josh Giddey,19,29.6,10.8,4.5,11.1,40.3,0.9,3.4,27.7,0.9,1.4,65.4,1.6,5.6,7.3,5.7,1.0,0.6,2.8,15.5
Kentavious Caldwell-Pope,20,29.7,10.8,3.7,8.8,42.0,2.0,5.4,37.4,1.4,1.6,87.1,0.6,3.3,3.8,1.5,1.4,0.4,1.2,11.3
Mo Bamba,20,29.7,10.8,4.3,9.5,45.0,1.4,4.2,33.7,0.9,1.2,70.8,2.5,6.6,9.1,1.8,0.9,2.0,1.5,17.5
Alec Burks,20,22.3,10.5,3.3,7.8,42.6,2.1,4.6,45.1,1.8,2.3,80.0,0.3,3.5,3.8,1.8,1.1,0.3,0.8,11.8
Malik Beasley,20,25.4,10.4,3.7,10.5,34.8,2.6,7.8,32.9,0.6,0.8,68.8,0.4,2.3,2.7,1.5,0.7,0.2,0.6,7.8
Lonnie Walker IV,18,22.6,10.4,3.8,10.3,37.3,1.6,5.4,28.9,1.2,1.4,80.8,0.1,2.9,2.9,2.6,0.7,0.4,1.3,9.0
JaVale McGee,20,16.4,10.2,4.5,6.8,66.2,0.0,0.0,0.0,1.2,1.9,63.2,2.3,5.0,7.3,0.7,0.4,1.0,1.6,14.8
De'Anthony Melton,17,25.3,10.1,3.8,9.5,39.5,1.9,5.1,36.8,0.6,0.8,78.6,0.7,3.1,3.8,2.4,1.5,0.7,1.5,11.1
Furkan Korkmaz,19,25.0,10.1,3.6,9.4,38.0,1.9,5.7,33.3,1.0,1.3,79.2,0.4,2.5,2.9,2.7,0.8,0.2,1.1,9.5
Ivica Zubac,20,24.8,10.1,3.7,5.7,64.9,0.0,0.0,0.0,2.7,3.5,75.7,2.7,5.8,8.5,1.3,0.5,0.9,1.1,17.2
Eric Bledsoe,20,28.4,9.9,3.7,9.0,40.8,0.9,3.3,27.3,1.7,2.0,85.0,0.8,3.6,4.4,3.5,1.4,0.6,2.2,11.9
Terrence Ross,20,25.0,9.9,3.4,8.8,38.6,1.4,4.5,31.5,1.7,2.1,78.6,0.2,1.7,1.9,2.0,0.6,0.2,1.4,7.2
Frank Jackson,20,21.5,9.8,3.4,8.4,40.1,1.7,5.4,30.8,1.4,1.7,82.4,0.3,1.1,1.4,0.8,0.6,0.3,0.9,6.6
Terance Mann,19,28.4,9.7,3.5,7.8,45.0,1.1,2.9,38.2,1.6,1.9,83.3,1.4,3.6,4.9,2.4,0.8,0.1,1.2,12.1
Cameron Payne,15,17.7,9.7,3.3,8.6,38.0,1.1,3.7,29.1,2.1,2.5,81.6,0.3,2.2,2.5,2.9,0.7,0.3,1.5,8.7
Justin Holiday,22,27.7,9.6,3.5,8.7,39.8,2.4,6.6,35.6,0.4,0.5,72.7,0.3,2.5,2.8,1.6,0.5,0.3,1.0,8.5
Luke Kennard,20,27.9,9.6,3.4,8.4,40.5,2.4,5.9,41.0,0.4,0.4,100.0,0.2,3.1,3.3,2.0,0.9,0.1,0.8,10.0
Jeff Green,19,23.3,9.5,3.3,7.2,45.6,0.7,2.6,28.6,2.2,2.7,80.8,0.4,2.2,2.6,1.1,0.3,0.4,0.8,8.6
Josh Richardson,15,25.0,9.5,3.5,7.5,46.9,1.1,3.1,34.0,1.3,1.6,83.3,0.7,2.3,3.0,1.3,0.6,0.6,0.7,9.9
Kevin Huerter,20,25.5,9.4,3.9,8.4,46.1,1.4,4.0,35.0,0.3,0.4,75.0,0.4,3.1,3.4,2.4,0.4,0.2,1.1,10.1
Malik Monk,22,23.9,9.4,3.5,7.8,45.0,1.5,4.5,33.3,0.9,1.0,82.6,0.4,2.2,2.5,2.1,0.7,0.3,1.3,9.2
Immanuel Quickley,20,19.1,9.3,3.0,7.4,40.5,1.7,4.7,36.6,1.6,1.8,91.4,0.4,1.7,2.0,2.5,0.5,0.0,1.0,8.8
Darius Bazley,19,28.5,9.3,3.5,9.8,35.8,1.1,3.9,28.0,1.1,1.9,58.3,1.0,5.8,6.8,1.5,0.6,1.2,1.4,10.8
Davion Mitchell,21,25.4,9.0,3.6,9.6,37.6,1.0,3.9,26.8,0.7,1.1,60.9,0.8,2.0,2.7,3.5,0.7,0.2,1.0,8.8
Damion Lee,15,21.0,8.9,3.3,7.5,43.8,1.3,3.6,35.2,1.1,1.4,81.0,0.3,2.5,2.9,1.2,0.2,0.1,0.7,8.2
Dorian Finney-Smith,18,31.6,8.8,3.2,7.8,41.1,1.7,4.9,34.1,0.7,1.2,61.9,1.8,2.9,4.7,1.2,1.4,0.5,1.0,10.6
Alperen Sengun,18,18.3,8.8,2.9,6.1,48.6,0.5,1.2,40.9,2.4,3.6,66.2,1.4,3.3,4.8,2.5,1.2,0.6,2.1,11.4
T.J. McConnell,22,24.7,8.8,4.0,8.0,50.3,0.3,1.1,29.2,0.5,0.6,76.9,0.8,2.7,3.5,5.0,1.0,0.4,1.2,13.5
Daniel Gafford,17,20.7,8.7,3.8,5.7,66.0,0.0,0.0,0.0,1.2,1.8,66.7,1.9,3.5,5.4,0.9,0.6,2.1,1.0,14.2
Jae Crowder,20,27.9,8.7,3.0,7.9,37.6,1.8,5.4,32.7,1.0,1.2,83.3,0.5,4.2,4.7,1.5,1.3,0.5,0.8,10.7
Daniel Theis,15,23.3,8.6,3.3,6.9,48.5,0.9,3.1,30.4,1.0,1.3,75.0,1.1,3.6,4.7,0.7,0.5,0.5,1.3,9.9
Cameron Johnson,20,22.1,8.5,3.0,7.4,40.5,1.8,4.7,38.7,0.7,1.0,73.7,0.3,2.9,3.2,1.2,0.7,0.2,0.6,8.5
Alex Caruso,20,29.7,8.5,2.8,6.5,43.4,1.0,3.0,33.9,1.9,2.1,90.2,0.9,3.0,3.8,4.1,2.3,0.4,1.4,13.8
Nassir Little,20,22.2,8.4,3.1,6.3,49.2,1.0,3.0,32.2,1.2,1.5,82.8,1.5,3.9,5.3,0.7,0.8,0.7,1.0,11.4
Mike Muscala,15,14.4,8.3,2.6,5.8,44.8,1.6,3.7,43.6,1.5,1.9,79.3,0.4,2.8,3.2,0.6,0.4,0.7,0.5,9.1
Naz Reid,18,15.4,8.2,3.1,6.5,47.0,0.7,2.2,32.5,1.4,1.9,73.5,1.4,2.2,3.6,0.8,0.6,1.1,0.8,9.5
Precious Achiuwa,18,25.7,8.2,3.4,8.8,39.2,0.4,1.3,29.2,0.9,1.6,55.2,2.1,6.0,8.1,1.6,0.5,0.6,1.1,11.8
Draymond Green,19,30.0,8.2,3.2,5.8,55.5,0.3,1.0,31.6,1.4,2.4,60.0,1.2,6.6,7.8,7.8,1.2,0.9,3.1,19.2
Obi Toppin,20,15.3,8.2,3.2,6.0,52.9,0.3,1.7,18.2,1.6,2.1,73.8,1.1,2.6,3.6,1.1,0.3,0.8,0.9,9.7
Patrick Beverley,16,25.4,8.1,3.1,6.7,45.8,1.2,3.5,33.9,0.8,1.1,70.6,1.4,2.9,4.4,4.5,0.9,1.0,1.2,13.7
Trey Lyles,20,16.4,8.0,2.7,6.2,43.1,0.9,3.0,30.5,1.8,2.4,76.6,1.4,2.9,4.3,0.8,0.3,0.2,1.0,8.6
Kyle Anderson,20,21.8,8.0,3.2,7.5,43.0,0.9,2.5,36.7,0.7,0.9,76.5,1.1,4.2,5.3,2.5,0.9,0.4,1.0,11.5
Danilo Gallinari,18,20.2,7.9,2.5,6.6,38.1,1.2,3.4,36.1,1.7,1.8,90.9,0.6,3.0,3.6,1.1,0.6,0.2,0.4,8.7
Josh Jackson,18,19.7,7.7,2.8,6.7,41.3,0.9,3.1,28.6,1.3,1.8,69.7,0.6,2.9,3.6,1.8,0.4,0.4,1.3,8.2
George Hill,20,27.2,7.7,2.9,6.3,45.2,1.0,2.9,34.5,1.0,1.1,95.2,1.0,2.7,3.7,2.6,0.9,0.2,1.1,10.5
Raul Neto,19,20.1,7.7,3.1,6.6,47.2,0.4,1.6,26.7,1.1,1.5,71.4,0.1,1.9,1.9,2.5,0.8,0.1,1.4,7.7
Cody Martin,22,24.6,7.7,2.8,5.9,47.7,0.9,1.9,47.6,1.1,1.6,71.4,1.3,2.9,4.1,2.2,1.3,0.5,0.4,11.9
Brandon Clarke,17,16.1,7.6,3.3,5.4,61.5,0.0,0.5,0.0,1.1,1.6,66.7,1.8,2.7,4.5,1.4,0.4,0.8,0.4,11.6
Grant Williams,21,21.6,7.6,2.6,5.1,51.4,1.5,3.4,43.1,0.9,1.0,90.5,0.7,2.9,3.5,1.1,0.3,0.6,0.5,10.0
Joe Ingles,20,24.7,7.6,2.7,5.9,44.9,1.9,4.8,40.0,0.4,0.5,88.9,0.5,2.6,3.1,3.1,0.6,0.2,1.0,10.2
Jordan Nwora,19,19.2,7.6,2.8,7.2,39.4,1.3,3.7,35.2,0.6,0.7,84.6,0.5,3.0,3.5,1.2,0.2,0.5,1.3,7.3
Royce O'Neale,19,31.0,7.6,2.8,6.1,46.1,1.5,4.2,35.4,0.5,0.8,66.7,0.9,3.8,4.7,2.1,1.7,0.8,1.2,12.2
R.J. Hampton,21,19.1,7.6,2.7,6.7,40.0,1.1,2.7,40.4,1.1,2.0,57.1,0.4,2.8,3.2,2.4,0.5,0.2,1.4,7.5
Isaiah Hartenstein,19,15.7,7.3,3.1,4.7,65.6,0.1,0.1,50.0,1.1,1.6,64.5,1.9,3.2,5.1,1.5,0.9,1.1,1.0,12.6
Jeremiah Robinson-Earl,19,21.4,7.3,2.8,6.3,45.4,1.3,3.1,40.7,0.4,0.6,63.6,1.5,4.0,5.5,0.8,0.6,0.4,0.9,10.2
Bruce Brown,17,24.3,7.3,3.2,6.6,47.8,0.4,1.3,31.8,0.5,0.7,75.0,0.9,3.0,3.9,1.1,1.4,0.5,0.8,9.9
Otto Porter Jr.,18,18.2,7.3,2.5,5.3,46.9,1.6,3.8,42.6,0.7,0.9,75.0,0.8,3.8,4.7,1.1,0.9,0.4,0.7,10.6
Chuma Okeke,15,20.8,7.3,2.7,7.1,37.7,0.7,3.3,22.4,1.2,1.4,85.7,0.7,3.3,4.0,1.1,0.7,0.2,0.8,7.8
Svi Mykhailiuk,21,18.9,7.2,2.6,5.9,44.4,1.1,3.3,34.8,0.9,1.0,90.0,0.6,2.0,2.6,1.1,0.8,0.1,0.7,7.7
Bones Hyland,14,15.4,7.2,2.4,6.8,35.8,1.4,4.5,31.7,0.9,1.0,92.9,0.3,1.7,2.0,1.6,0.7,0.2,0.8,6.6
Jeremy Lamb,16,13.9,7.2,2.2,5.4,40.7,1.2,3.0,39.6,1.6,1.6,100.0,0.1,2.3,2.4,1.1,0.5,0.4,0.5,7.9
Landry Shamet,19,18.3,7.2,2.3,5.9,38.4,1.7,4.4,38.6,0.9,1.2,81.8,0.3,2.2,2.4,1.6,0.3,0.1,0.5,7.3
Hassan Whiteside,20,15.5,7.2,2.9,4.9,58.8,0.0,0.0,0.0,1.5,2.1,70.7,2.1,4.6,6.7,0.2,0.3,1.3,1.1,12.0
Thaddeus Young,15,15.9,7.1,3.4,5.8,58.6,0.0,0.1,0.0,0.3,0.9,35.7,1.6,2.0,3.6,2.9,1.0,0.4,1.2,10.9
Isaiah Stewart,18,24.1,7.0,3.2,6.2,51.8,0.1,0.6,10.0,0.5,0.8,64.3,2.2,5.1,7.3,1.1,0.4,1.2,1.1,12.5
Khem Birch,15,22.9,6.9,2.7,5.3,50.0,0.0,0.4,0.0,1.6,2.2,72.7,3.2,2.5,5.7,1.3,1.0,0.5,0.6,11.5
Mitchell Robinson,17,25.5,6.8,2.8,3.5,79.7,0.0,0.0,0.0,1.3,2.2,57.9,3.1,4.8,7.8,0.8,0.4,1.5,0.6,15.1
Mason Plumlee,20,26.2,6.8,3.0,5.0,59.6,0.0,0.0,0.0,0.9,2.6,34.6,2.6,4.7,7.3,2.8,0.9,1.0,1.2,13.8
P.J. Tucker,20,27.8,6.8,2.6,5.0,52.0,1.2,2.5,46.0,0.5,0.6,81.8,1.8,4.1,5.9,1.6,0.5,0.3,0.9,11.7
Robert Covington,20,26.9,6.8,2.5,5.8,42.2,1.8,4.6,38.0,0.2,0.2,100.0,0.4,4.2,4.6,1.3,1.1,1.1,0.9,10.6
Kenrich Williams,19,20.2,6.8,2.6,5.8,45.0,0.7,2.1,33.3,0.8,1.5,57.1,1.1,2.5,3.5,1.7,0.7,0.2,0.8,8.3
Cory Joseph,20,21.8,6.8,2.4,5.4,43.9,0.6,1.9,29.7,1.5,1.8,83.3,0.4,1.4,1.8,3.5,0.9,0.2,1.4,8.3
Kenyon Martin Jr.,18,15.2,6.7,2.8,5.1,54.3,0.4,1.3,29.2,0.8,1.2,66.7,0.6,2.3,2.9,0.8,0.4,0.5,0.4,8.2
Andre Drummond,19,22.4,6.7,2.7,5.9,45.1,0.0,0.1,0.0,1.3,2.3,58.1,3.3,7.5,10.7,2.2,1.0,1.1,1.8,15.7
Derrick Jones Jr.,17,17.1,6.6,2.5,4.1,60.9,0.2,0.8,28.6,1.5,1.8,83.3,1.3,2.2,3.5,0.5,0.5,0.8,0.4,9.8
Ty Jerome,16,13.2,6.6,2.2,5.8,38.0,1.1,3.6,31.6,1.1,1.4,81.8,0.4,0.9,1.3,1.2,0.8,0.1,0.3,5.9
Larry Nance Jr.,20,19.3,6.6,2.7,4.9,54.6,0.6,1.6,35.5,0.8,1.2,65.2,1.6,3.6,5.1,1.5,0.8,0.5,0.9,11.0
Steven Adams,20,24.3,6.6,2.5,5.0,49.0,0.0,0.0,0.0,1.7,2.4,68.8,3.6,4.5,8.0,2.8,0.8,0.8,1.5,14.2
Dwight Powell,18,20.8,6.4,2.4,4.2,57.9,0.3,0.8,40.0,1.2,1.9,64.7,2.2,2.8,4.9,1.1,0.6,0.7,0.8,10.6
Gary Payton II,19,14.1,6.3,2.5,3.7,67.1,0.5,1.2,39.1,0.9,1.4,63.0,1.1,1.9,3.0,0.8,1.5,0.1,0.4,9.5
Nemanja Bjelica,20,14.3,6.3,2.3,4.9,45.9,0.9,2.4,37.5,0.9,1.1,81.0,0.9,3.0,3.9,1.6,0.8,0.3,1.2,8.7
Deni Avdija,20,21.9,6.2,2.2,5.2,42.7,0.8,2.4,31.3,1.0,1.6,64.5,0.8,4.3,5.1,1.3,0.6,0.8,0.7,9.8
Jaden McDaniels,20,25.3,6.2,2.6,6.2,41.5,0.7,2.7,26.4,0.4,0.6,63.6,1.6,2.9,4.5,0.9,1.0,0.6,1.0,8.3
Tyus Jones,20,16.1,6.2,2.4,4.9,49.0,0.9,2.0,46.2,0.5,0.6,81.8,0.2,2.0,2.1,3.3,0.6,0.1,0.6,9.1
Torrey Craig,22,17.2,6.1,2.4,4.6,51.0,0.6,2.1,29.8,0.8,1.0,77.3,1.4,2.4,3.7,1.0,0.5,0.3,0.6,8.5
Drew Eubanks,18,15.7,6.1,2.2,4.2,52.6,0.0,0.2,0.0,1.7,2.1,78.9,1.3,3.4,4.8,1.6,0.4,0.8,1.3,10.0
Jaxson Hayes,18,12.5,6.1,2.2,4.2,52.0,0.2,0.6,40.0,1.6,2.1,75.7,1.3,2.1,3.4,0.3,0.3,0.7,0.6,7.7
Lou Williams,16,12.9,6.0,2.3,5.9,37.9,0.6,1.6,34.6,0.9,1.1,88.2,0.3,1.2,1.5,1.6,0.5,0.1,0.8,5.1
Moritz Wagner,20,11.0,6.0,1.9,4.3,44.2,1.1,2.9,37.9,1.1,1.5,72.4,0.5,2.1,2.6,0.7,0.1,0.3,0.8,6.0
Reggie Bullock,17,22.9,5.9,2.2,6.2,35.8,1.2,4.4,28.4,0.2,0.4,66.7,0.2,2.6,2.9,0.7,0.3,0.1,0.5,5.3
Chris Boucher,19,13.9,5.9,2.3,5.9,38.1,0.5,2.6,20.0,0.8,1.3,66.7,1.4,2.7,4.1,0.3,0.6,0.7,0.6,6.9
Gary Harris,15,23.7,5.9,2.5,6.8,37.3,0.6,2.8,21.4,0.2,0.3,75.0,0.9,0.9,1.8,1.7,0.6,0.1,1.0,4.7
Ayo Dosunmu,20,16.3,5.9,2.4,5.1,46.5,0.8,1.9,43.2,0.4,0.6,63.6,0.5,1.6,2.1,0.9,0.4,0.2,0.8,5.6
Herbert Jones,19,25.7,5.8,2.5,5.3,46.5,0.3,0.8,31.3,0.6,0.8,75.0,1.2,2.1,3.3,1.7,1.5,0.6,1.2,8.7
DeAndre' Bembry,19,19.4,5.8,2.5,4.4,56.0,0.4,0.9,41.2,0.5,0.9,52.9,0.7,2.4,3.1,1.1,1.0,0.4,0.7,8.3
Kira Lewis Jr.,19,14.8,5.8,2.5,6.5,38.2,0.6,2.6,22.4,0.3,0.4,71.4,0.3,1.5,1.8,2.1,0.5,0.0,1.3,4.7
Derrick Favors,16,16.7,5.8,2.6,5.3,48.8,0.1,0.5,25.0,0.5,0.9,57.1,1.5,3.5,5.0,0.4,0.5,0.1,0.3,8.4
Jarred Vanderbilt,20,21.8,5.7,2.3,4.3,52.3,0.0,0.3,0.0,1.2,1.5,82.8,3.0,4.8,7.7,1.2,1.4,0.8,1.2,13.3
Bryn Forbes,18,13.4,5.7,2.2,4.9,43.8,1.0,2.6,38.3,0.3,0.4,75.0,0.1,1.0,1.1,0.6,0.3,0.1,0.8,3.9
Killian Hayes,15,25.1,5.7,2.0,6.2,32.3,0.9,2.5,36.8,0.7,0.8,91.7,0.7,2.7,3.5,3.8,1.5,0.3,1.7,8.7
Garrett Temple,20,18.6,5.6,1.9,4.8,38.9,1.0,2.8,36.4,0.9,1.1,77.3,0.7,1.9,2.6,1.2,0.9,0.6,1.0,6.6
Jalen McDaniels,20,14.1,5.6,2.0,3.5,56.5,1.0,2.0,48.7,0.7,1.2,60.9,0.7,2.6,3.2,1.0,0.4,0.2,0.6,7.8
Tristan Thompson,15,14.1,5.5,2.3,4.5,50.7,0.0,0.0,0.0,1.0,2.0,50.0,2.4,3.2,5.6,0.7,0.3,0.4,0.7,8.7
JaMychal Green,19,14.9,5.5,2.2,5.0,43.2,0.5,2.2,21.4,0.7,0.9,77.8,1.1,2.6,3.6,0.8,0.8,0.4,1.3,6.8
Javonte Green,21,19.5,5.5,2.1,4.2,49.4,0.5,1.2,40.0,0.9,1.1,75.0,1.4,2.8,4.2,0.6,0.9,0.3,0.8,8.3
Aaron Holiday,20,17.8,5.5,2.2,5.3,41.5,0.6,1.8,34.3,0.5,0.7,76.9,0.2,1.5,1.7,1.9,0.5,0.4,1.3,5.5
Blake Griffin,17,21.7,5.5,2.0,6.3,31.8,0.5,3.3,16.1,0.9,1.4,69.6,1.2,3.7,4.9,2.0,0.5,0.6,0.5,8.3
Kevon Looney,20,18.4,5.5,2.3,4.2,54.2,0.0,0.0,0.0,1.0,1.7,55.9,2.5,4.2,6.6,1.1,0.6,0.8,0.7,11.2
